Name,price,Old Price,discount,Stars and Reviews,Items Left
Qwen Memory Card 64Gb High Speed C10,KSh 599,KSh 800,25%,4.1 out of 5(7),38 items left
Oraimo Slice Link 10000mAh 12W Power Bank_ Black,"KSh 1,530","KSh 2,000",24%,5 out of 5(1),35 items left
Qwen Portable Laptop Holder Aluminum Alloy Fold Able Computer Stand,"KSh 1,000", , ,4.5 out of 5(43),176 items left
RichRipple 6A 120w Super Fast Charge 3in1 USB Charging Cable,KSh 299,KSh 419,29%,3.7 out of 5(62),255 items left
Nice One 6PCS 370ML High Quality Porcelain Tea Milk Coffee Ceramic Cups,KSh 599,KSh 899,33%,4.2 out of 5(11),9 items left
Oraimo Traveller 4 20000mAh 2.1A Triple Ports Fast Charging Power Bank- Black 1YR WRTY,"KSh 2,299","KSh 3,500",34%,4.3 out of 5(97),18 items left
LASA Double Sided Nano Removal Tape Gel Grip,KSh 350,KSh 660,47%,4.6 out of 5(10),158 items left
RichRipple Pro2+ Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 599,KSh 754,21%,4.1 out of 5(208),442 items left
Garnier Even & Matte Vitamin C Cleansing Foam,KSh 579,KSh 825,30%,4.4 out of 5(2427),386 items left
Garnier Even & Matte Vitamin  C Micellar Cleansing Water - 400ml,KSh 403,KSh 775,48%,4.4 out of 5(1233),73 items left
Power King 4 Way Extension Power Cable,KSh 550,KSh 599,8%,4.2 out of 5(54),482 items left
Garnier Even & Matte Dark Spot Corrector,KSh 542,"KSh 1,090",50%,4 out of 5(2988),345 items left
"NIVEA MEN Deep Antibacterial Anti-Perspirant Rollon,48h - 50ml (Pack Of 2)",KSh 659,"KSh 1,040",37%,4.5 out of 5(1255),53 items left
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",KSh 728,"KSh 1,040",30%,4.5 out of 5(1300),458 items left
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -150ml,"KSh 1,034","KSh 1,345",23%,4.4 out of 5(5316),399 items left
"NIVEA Pearl & Beauty Black Pearl Fine Fragrance Anti-Perspirant Roll-On, 48h - 50ml (Pack Of 2)",KSh 728,"KSh 1,040",30%,4.5 out of 5(410),127 items left
NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),KSh 869,"KSh 1,280",32%,4.7 out of 5(1362),75 items left
Pembe Pembe ATTA MARK - 2Kg,KSh 169,KSh 185,9%,4.8 out of 5(45), Out of stock
Garnier Anti-Blemish Charcoal Serum With AHA+BHA & Niacinamide For Acne Prone Skin,"KSh 1,570","KSh 1,850",15%,4.2 out of 5(2195),402 items left
Soko Soko Maize Meal - 2Kg,KSh 128,KSh 140,9%,4.4 out of 5(656), Out of stock
Toni Glass Toni Glass Tonic Water - Watermelon 250ml Can Pack of 4,KSh 399,KSh 578,31%,5 out of 5(1),6 items left
"Vitron HTC3200S, 32"" Smart Frameless Android LED TV, With Bluetooth, 1YR Warranty.","KSh 11,999","KSh 15,000",20%,4 out of 5(1),186 items left
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,"KSh 1,050","KSh 1,750",40%,4.3 out of 5(4537),190 items left
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),KSh 990,"KSh 1,460",32%,4.5 out of 5(1565),397 items left
"Vision Plus VP8832SF- 32-Inches Frameless Smart Android TV, Black, (2YRs WRTY)","KSh 13,199","KSh 20,995",37%,4.2 out of 5(147),2 items left
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,058","KSh 1,800",41%,4.3 out of 5(3350),391 items left
Toni Glass Toni Glass Mixer – Lemonade 250ml Can Pack of 6,KSh 560, , , , Out of stock
NIVEA Micellar Water For Sensitive Skin - 400ml,KSh 555,KSh 740,25%,4.4 out of 5(65),14 items left
Toni Glass Toni Glass Tonic Water - Original 250ml Can Pack of 4,KSh 399,KSh 578,31%, ,3 items left
Toni Glass Toni Glass Tonic Water - Pear 250ml Can,KSh 99,KSh 144,31%, ,10 items left
Toni Glass Toni Glass Tonic Water - Pear 250ml Can Pack of 4,KSh 399,KSh 578,31%, ,23 items left
Soko Nutrigo Whole Grain Maize Meal 2Kg,KSh 149,KSh 229,35%,4.4 out of 5(76),16 items left
