Name,Price,Old,Discount,Stars_and_reviews
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 975,"KSh 1,300",25%,4.4 out of 5(4415)
AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),KSh 929,"KSh 1,399",34%,3.8 out of 5(1414)
RichRipple LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,KSh 519,KSh 920,44%,3.7 out of 5(709)
"Vitron HTC4388FS - 43"" Smart Android Frameless TV - Black","KSh 19,799","KSh 28,599",31%,3.9 out of 5(1130)
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,"KSh 1,050","KSh 1,750",40%,4.3 out of 5(4530)
AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet,"KSh 3,299","KSh 4,999",34%,3.9 out of 5(671)
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,058","KSh 1,800",41%,4.3 out of 5(3348)
AILYONS FK-0310 Stainless Steel 2.2L Electric Water Kettle-Black (1YR WRTY),KSh 902,"KSh 1,599",44%,3.9 out of 5(931)
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 499,KSh 754,34%,4.1 out of 5(340)
Hikers 32'' Inch Frameless Android Smart HD LED TV - Black(1YR WRTY),"KSh 11,328","KSh 20,168",44%,3.9 out of 5(628)
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),KSh 990,"KSh 1,460",32%,4.5 out of 5(1559)
Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,KSh 910,"KSh 1,250",27%,4.2 out of 5(1669)
Rashnik Manual Water Dispenser Pump,KSh 286, , ,4.1 out of 5(267)
AILYONS TYB-205 Blender 2In1 With GrinderMachine 1.5LBlack (1YR WRTY),"KSh 1,699","KSh 2,599",35%,4.1 out of 5(626)
AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White (1YR WRTY),KSh 738,"KSh 1,399",47%,4 out of 5(1283)
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -150ml,"KSh 1,034","KSh 1,345",23%,4.4 out of 5(5312)
"AILYONS LST3208W 32"" Smart Android FHD Frameless TV - HDMI, 1YR WRTY","KSh 11,499","KSh 18,999",39%,4.1 out of 5(177)
Starlink Standard Actuated Kit,"KSh 45,500","KSh 100,000",55%,4.7 out of 5(236)
Lyons FY-1731 Blender 2 In 1 With Grinder Machines  1.5L,"KSh 1,599","KSh 2,599",38%,4 out of 5(747)
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner (1YR WRTY)","KSh 2,298","KSh 3,299",30%,4.1 out of 5(637)
AILYONS AFK-112 Water Dispenser Hot Cold And Normal With Storage Cabinet,"KSh 6,499","KSh 8,499",24%,4.1 out of 5(646)
Garnier Anti-Blemish Charcoal Serum With AHA+BHA & Niacinamide For Acne Prone Skin,"KSh 1,570","KSh 1,850",15%,4.2 out of 5(2194)
Garnier Even & Matte Vitamin C Cleansing Foam,KSh 579,KSh 825,30%,4.4 out of 5(2427)
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",KSh 728,"KSh 1,040",30%,4.5 out of 5(1300)
RichRipple Rechargeable 2.4G Wireless Slient Mouse Bluetooth 5.0 USB LED Ultrathin Mice,KSh 406,KSh 734,45%,4.4 out of 5(286)
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 499,KSh 826,40%,4 out of 5(336)
Nunix Free standing Hot and Normal -Q7n White,"KSh 3,685", , ,3.9 out of 5(173)
"NIVEA MEN Deep Antibacterial Anti-Perspirant Rollon,48h - 50ml (Pack Of 2)",KSh 659,"KSh 1,040",37%,4.5 out of 5(1255)
Rashnik Electric Water Dispenser Pump,KSh 429, , ,4.4 out of 5(253)
NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),KSh 869,"KSh 1,280",32%,4.7 out of 5(1362)
Garnier Even & Matte Dark Spot Corrector,KSh 542,"KSh 1,090",50%,4 out of 5(2988)
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)","KSh 5,780","KSh 7,599",24%,4 out of 5(1182)
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 492,KSh 826,40%,4.2 out of 5(96)
Garnier AHA+BHA Charcoal Serum + Pure Active 3-in-1 Charcoal Mask (Anti Acne Skin Care Kit),"KSh 2,167","KSh 3,195",32%,4.3 out of 5(725)
AILYONS FK-0308 Stainless Steel 2.2L Electric Kettle (1YR WRTY),KSh 902,"KSh 1,599",44%,4.1 out of 5(758)
RichRipple Pro6 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 557,"KSh 1,009",45%,3.9 out of 5(103)
Amaze Fridge/Freezer Guard-UnderVoltage&Surge Protection,KSh 599,"KSh 1,000",40%,4.2 out of 5(879)
Itel ISW-O11 Waterproof Native Storm  Smart Watch,"KSh 1,550","KSh 2,200",30%,4.2 out of 5(170)
Garnier Even & Matte Vitamin  C Micellar Cleansing Water - 400ml,KSh 403,KSh 775,48%,4.4 out of 5(1233)
"Samsung Galaxy A05, 6.7"", 64GB + 4GB (Dual SIM), 5000mAh, Black (2YRs WRTY)","KSh 11,901","KSh 13,000",8%,3.9 out of 5(43)
"AILYONS SB501 2.1CH Sound Bar SubWoofer With Bluetooth Home Theatrer 18000W PMPO - Black, 1YR WRTY","KSh 4,569","KSh 8,999",49%,3.8 out of 5(92)
Garnier Bye Acne & Dark Spots Skin Care Kit.,"KSh 2,750","KSh 4,345",37%,4.3 out of 5(914)
Qwen 64GB Flash Disks USB Flash Drive High Speed,KSh 699,"KSh 1,000",30%,4 out of 5(401)
Hikers 32'' Digital Frameless HD LED TV-Black,"KSh 10,259","KSh 15,950",36%,3.9 out of 5(473)
L'Oreal GLYCOLIC BRIGHT FACE CLEANSER FOAM 100ML,KSh 634,KSh 850,25%,4.4 out of 5(290)
